Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,Price_to_SMA20,EMA_20,EMA_50,EMA_Diff_Pct,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,ATR,Vol_SMA5,Volume_Shock,CMF,ADX,MACD_Pct,MACD_Hist_Pct,VWAP,VWAP_Dist,MACD_Hist_Slope,RSI_Divergence,ATR_Volatility,ATR_Pct,Garman_Klass,RSI_Velocity,RSI_Acceleration,ROC_5,Market_RSI,RSI_Lag_1,Target,Ticker
2021-08-03,949.9513549804688,951.430147484226,939.2358562430207,950.9751482931742,11817299,948.7080444335937,967.242685546875,,949.0920151644826,950.1367297684047,-0.0010995413304100469,,-6.971604028007505,-6.345183607322299,-0.6264204206852062,948.7080444335937,11.572053252600925,971.8521509387956,925.5639379283919,,15.304652642322651,12151319.4,,,27.445890644708477,-0.007338906346571298,,970.1427273937371,0.9791872145787126,0.25005503649882516,0.0,0.016110985643719954,,8.275222281132647e-05,-0.06964242803986309,-5.386512207467256,0.01593677067679633,,,1,RELIANCE.NS
2021-08-04,957.2315673828125,961.8954143261994,949.6100753022611,952.9771655453944,13169800,948.2291442871094,968.5842443847656,,949.8672106138474,950.41495869446,-0.0005763251889094879,,-5.428381313221394,-6.161823148502118,0.7334418352807246,948.2291442871094,10.965818208018034,970.1607807031455,926.2975078710733,,15.350155180760371,12205709.8,,,27.824449086455406,-0.0056709175691495185,,969.9436961923869,0.9868939518247531,0.2761628082085155,0.0,0.016035989308971037,,7.495148714583826e-05,5.62676668861404,5.6964091166539035,0.03259139039818537,,,0,RELIANCE.NS
2021-08-05,971.109375,980.4598152724985,957.4589790719469,962.0318379378849,21252078,948.7797088623047,970.1407873535156,,951.8902738887191,951.2265044319322,0.0006978037866833798,,-3.0503802160694704,-5.539534562015589,2.489154345946119,948.7797088623047,11.835061698978727,972.4498322602622,925.1095854643472,,16.473051653156777,13702977.8,,,29.357490896149464,-0.003141129407865442,,969.9376504613127,1.00120804109226,0.3208263504435962,0.0,0.016963126993966852,,0.0002476932083028598,5.545119062515447,-0.08164762609859366,0.039449635743781464,,,0,RELIANCE.NS
2021-08-09,945.128173828125,950.8841149123823,940.2822912594686,946.8799898333923,7494143,948.8343109130859,971.1367443847656,,951.1301647795304,950.961597780697,0.00017725952259966518,,-2.991715362766058,-4.590547855374211,1.5988324926081532,948.8343109130859,11.755938460116623,972.3461878333192,925.3224339928527,,17.361957122472322,14070861.4,,,33.74166193569541,-0.0031654070269065402,,969.5376031479705,0.974823638360605,-0.09420117588187907,1.0,0.01836994981553651,,6.153045841048915e-05,0.23450932205787467,12.935406680719296,0.002243513838583455,,,1,RELIANCE.NS
2021-08-10,950.0877685546875,961.4403616289129,943.5811181110125,947.3349664779623,11919198,948.924169921875,970.5475500488282,,951.030888948593,950.9273299679123,0.00010890314897567531,,-2.7175622536760784,-4.215950735034585,1.4983884813585062,948.924169921875,11.758431961158852,972.4410338441927,925.4073059995573,,17.857597264316578,14091241.2,,,36.54508700421384,-0.002860327586163208,,969.3199916198955,0.9801590566258024,-0.07354329523271808,0.0,0.01879573430513929,,0.00017253262149765876,2.6459636004175664,2.4114542783596917,0.00014360058912865625,,,1,RELIANCE.NS
2021-08-11,963.3969116210938,964.6254274166216,947.9720127090839,954.1373988131746,9184963,949.324575805664,970.1465466308593,,952.2086053935931,951.4163331699979,0.0008327292647527107,,-1.4101025389359165,-3.654781095814851,2.2446785568789345,949.324575805664,12.120917354138538,973.5664105139412,925.0827410973869,,18.068847332022397,13294273.8,,,37.66577455052521,-0.0014636776617455564,,969.2207375520433,0.9939912285145087,0.0670384196253396,1.0,0.018755351106137776,,0.00011560827191025262,0.38185041817109777,-2.2641131822464686,0.006440807478944821,,,1,RELIANCE.NS
2021-08-12,960.3028564453125,967.4465419866664,957.8002707488877,966.8550009426898,8137612,949.881967163086,969.39029296875,,952.9794864461378,951.7648242788338,0.0012762209070114757,,-0.6164891862651984,-3.047122713904921,2.4306335276397224,949.881967163086,12.36654295795704,974.6150530790001,925.1488812471719,,17.704835909309995,10671380.6,,,37.341412025488935,-0.0006419737087386914,,969.1604046892373,0.9908605962428221,0.09707823318687953,0.0,0.01843672107239874,,3.234786776180277e-05,1.328823553623927,0.9469731354528292,-0.01112801382922235,,,1,RELIANCE.NS
2021-08-13,976.2965087890625,978.2303606065249,959.5975996548036,963.3969420853272,12780901,951.3220764160156,968.8777355957031,,955.2001552407021,952.7268511223722,0.0025960264638428135,,1.2881600854001363,-2.1800661540439097,3.468226239444046,951.3220764160156,13.68103794313903,978.6841523022937,923.9600005297376,,17.413956836514224,9903363.4,,,33.9699063639304,0.0013194353086405793,,969.1885115928341,1.0073339676556283,0.12532541820532275,0.0,0.017836750085395075,,0.00011657862942340922,10.25697061149318,8.928147057869253,0.02709357027988535,,,1,RELIANCE.NS
2021-08-17,984.759765625,994.2922421974579,977.2975624086582,986.8528461084586,12658169,954.1977478027344,968.2880236816407,,960.9251059867021,955.3485525544905,0.005837192527580274,,5.347455090748099,0.27850519297231835,5.068949897775781,954.1977478027344,17.49493659147889,989.1876209856922,919.2078746197766,,18.34835689785562,12939417.8,,,28.89612653903198,0.00543021280662171,,969.7520891305049,1.0154757867115822,0.1625496607605789,0.0,0.018632317787892583,,0.00014686730507716854,1.8659463366956999,-5.752169279012897,0.03649346746464999,,,0,RELIANCE.NS
2021-08-18,988.5819091796875,995.0203194571639,979.4589373887336,989.1961972236583,10075860,955.9916351318359,967.9762841796875,,963.5590872431769,956.6518214417532,0.007220250509748328,,6.822140181059126,1.58723219058968,5.234907990469446,955.9916351318359,19.0995486889347,994.1907325097053,917.7925377539665,,18.255726703776094,13117597.2,,,29.764749013739582,0.0069009356915231725,,969.923928966642,1.0192365397489715,0.04749960481974465,0.0,0.018466579788946835,,0.00012408456365961906,-0.7328965273821666,-2.5988428640778665,0.026141870764579522,,,0,RELIANCE.NS
2021-08-20,977.4795532226562,988.2860390419917,972.3606471777291,975.090702319037,9426282,956.6184112548829,967.8016174316406,,964.8848459078893,957.4685952370828,0.007745685558451485,,7.014117025259679,2.67260915752368,4.3415078677359995,956.6184112548829,19.607719629743816,995.8338505143705,917.4029719953952,,18.216730312111753,13375331.2,,,30.63337148844904,0.0071757173867500685,,970.0078954784092,1.0077026772452837,-0.07442017867695856,0.0,0.01863643106605447,,0.00012964363617788498,-1.4614542733301192,-0.7285577459479526,0.017886749645758204,,,1,RELIANCE.NS
2021-08-23,983.895263671875,989.1961455676026,970.2221199980743,989.1961455676026,9854395,957.9072326660156,967.6827136230469,,966.6953618854117,958.5049351757021,0.008545002126879616,,7.596387841875753,3.6573648943940946,3.9390229474816585,957.9072326660156,20.53667438986794,998.9805814457515,916.8338838862798,,18.138731177733785,12790030.0,,,31.25237564511853,0.007720728132706406,,970.1100061805504,1.0142099941279845,-0.13170965354079014,0.0,0.018435632172920977,,0.00017639928687454576,-2.567134112255445,-1.105679838925326,0.007783244961346414,,,1,RELIANCE.NS
2021-08-24,993.6097412109375,997.3863365967811,980.823849400721,985.1237449789751,11864472,960.3381317138671,967.4147119140625,,969.2586361068903,959.8815942359075,0.009768956845596578,,8.740958480894733,4.674083611694223,4.06687486920051,960.3381317138671,21.767937781673073,1003.8740072772133,916.802256150521,,18.450745174509134,10775835.6,,,32.57389782255609,0.008797174703856171,,970.3345994513564,1.0239867173372372,-0.027639926134430885,1.0,0.01856940850038642,,0.00011178336130548936,0.7175147083622875,3.2846488206177327,0.004692944216599271,,,1,RELIANCE.NS
2021-08-25,1002.20947265625,1010.1267354530132,991.9717199859176,994.3833180171741,13380559,963.6961212158203,967.0297680664063,,972.3968110163531,961.5415110367053,0.011289476174494734,,10.224108259457125,5.7840885412468035,4.440019718210322,963.6961212158203,22.81643089248844,1009.3289830007972,918.0632594308435,,18.87000777759179,10920313.6,,,33.17477839623642,0.01020156817351667,,970.7142513542905,1.0324454094065467,0.04998922724211782,1.0,0.01882840692732512,,0.0001407249321109487,0.33065811877163753,-0.38685658959064995,0.017719760331775136,,,1,RELIANCE.NS
2021-08-26,1014.8814697265625,1021.4564210623375,1003.301407394536,1004.666465019474,18589616,968.0892578125,966.8518566894531,,976.442968988754,963.6332741225821,0.013293122197157742,,12.280477701153927,7.083366373228229,5.197111327925699,968.0892578125,23.819405312122036,1015.7280684367441,920.4504471882559,,18.585629243049045,12623064.8,,,30.793276999931543,0.012100405877398206,,971.4229731896818,1.0447369454257234,0.11136635089303505,1.0,0.01831310334994739,,0.00012127273669012244,-0.3019046980276272,-0.6325628167992647,0.026603319666954173,,,1,RELIANCE.NS
2021-08-27,1013.4937744140625,1020.4782919319844,1008.3294342208058,1017.8619111430866,10480636,972.0512756347656,966.9956420898437,,979.9716171244977,965.5885878595029,0.014895608177043482,,13.640945555604048,8.394882209703393,5.246063345900655,972.0512756347656,24.476273887014063,1021.0038234087938,923.0987278607374,,17.236845091575226,12833935.6,,,28.53944088524337,0.013459328414204531,,971.8204858817893,1.042881673249006,0.07953118687438816,0.0,0.01700735172403054,,6.457325126170326e-05,11.252228361734424,11.554133059762052,0.0368439637153235,,,1,RELIANCE.NS
2021-08-31,1027.4854736328125,1039.1337183154053,1020.2507393885751,1036.016904489164,26485463,981.6201690673828,967.7882727050782,1.198842295712779,989.0653070585103,970.5554911600566,0.01907136280926167,1.5204034908842035,17.41585470507482,11.432970497441506,5.982884207633315,981.6201690673828,26.538891670934913,1034.6979524092526,928.542385725513,1.6281883944616389,18.127362512452788,16592667.2,1.6268927830145217,1.7877004014801985,25.200439305256076,0.0169499765709405,1.245877508166026,973.8038546954203,1.0551256997788145,0.07171107335725285,0.0,0.017642451380223478,-0.44100658163385287,0.0001417461840081668,-4.235114986905515,-10.940604269366375,0.034093599344738434,1.0011205028370087,,1,RELIANCE.NS
2021-09-01,1031.5577392578125,1043.2970916409213,1029.6922485674477,1034.2423608926047,11145486,985.70048828125,968.0599145507813,1.1213866195519109,993.1122053632057,972.947736183498,0.020725130888103464,1.296197547369041,18.56791312570408,12.85995902309402,5.70795410261006,985.70048828125,27.66320916461752,1041.0269066104852,930.374069952015,1.641846750995532,18.06723417677929,16145652.6,-1.0236672826518554,1.1890045264350744,23.688557416232445,0.017999877679212958,1.0322184764185978,974.3819778621972,1.058679001351256,-0.04473960333433868,0.0,0.01751451565840449,-0.5689048427802773,8.353648972591414e-05,-1.5373239759261992,2.6977910109793157,0.029283565364611963,0.546653816116211,1.5204034908842035,1,RELIANCE.NS
2021-09-02,1043.9796142578125,1050.0767599227504,1026.052128476792,1026.052128476792,9956770,990.037890625,968.6846484375,1.4485730513822497,997.9567204960254,975.7333000295496,0.022776121780183144,1.5001519238399106,20.249841653254748,14.337935549126167,5.911906104128581,990.037890625,29.690974678707487,1049.419839982415,930.655941267585,1.7710995797298996,19.094259905934987,14419083.4,-0.9765394753234061,1.0065077159427191,24.57102488655963,0.019396778803608534,1.0488180115704666,974.9327755818288,1.0708221534913291,-0.006798801675368512,0.0,0.018289878121336214,0.324455322278258,0.00015193850099008395,3.9669755562032805,5.50429953212948,0.028671470904961804,0.6422714434451825,1.296197547369041,1,RELIANCE.NS
2021-09-03,1086.796142578125,1089.753727352986,1047.6651320377116,1051.0776557907193,30664428,995.8222290039063,970.3513549804687,2.715367066162828,1006.4176178371777,980.0887056196898,0.026863805354040662,1.5988972376700934,24.7523880106113,16.420826041423194,8.331561969188105,995.8222290039063,36.33486420396145,1068.4919574118292,923.1525005959834,2.3644307282483217,21.03292791618158,18455841.8,1.7352800071634908,1.571078569939941,25.7732494107131,0.022775557476557,1.9050240364574649,977.4465271228679,1.1118727341301522,0.24140754312504667,0.0,0.019353149217374608,1.4723448964711707,0.00034429554933262826,3.0017102464020695,-0.965265309801211,0.07232641187800226,0.510415795115158,1.5001519238399106,1,RELIANCE.NS
2021-09-07,1110.638916015625,1118.4195769224002,1097.4890117544835,1105.6792381399396,17349882,1011.7544830322265,975.8893103027344,2.1596153305350194,1024.72410399873,989.8648680290875,0.03521615636184291,1.594049814265147,33.16339807634802,21.837142087543484,11.326255988804533,1011.7544830322265,45.99940650101199,1103.7532960342505,919.7556700302025,2.50921090289679,21.8552125031047,20551655.2,-0.599702034859335,1.183953964117354,22.41341342586998,0.029859747932559928,2.3318667828958795,982.7557011344472,1.130127166633127,0.26963705092894485,0.0,0.019678053945299742,1.5845149874241609,0.00017071108498086304,2.8374306161553733,2.458264744776983,0.08092906860163418,0.3087404294006349,1.5106324616836542,0,RELIANCE.NS
2021-09-08,1106.2933349609375,1116.599387104017,1095.0545376191697,1115.689388852755,14301651,1019.5647613525391,979.0320764160156,1.5934873905870441,1032.492602185607,994.4306902617091,0.03827507768675433,1.325908742166526,35.430758134763664,24.55586529698752,10.874892837776144,1019.5647613525391,48.18700658628731,1115.9387745251138,923.1907481799644,2.330223939284356,22.282603032848783,21182888.2,-1.0331956043462203,1.141358463054726,20.0227696834149,0.03202654939251051,1.964220241390727,984.1295407386442,1.1241338555192668,0.048439652049242964,0.0,0.020141677011581715,1.8850976579770622,0.000162175271709483,-2.640120725587721,-5.477551341743094,0.07244926082072345,0.5996639747781655,1.594049814265147,0,RELIANCE.NS
2021-09-09,1103.67724609375,1109.2510915570197,1099.35460328716,1104.7237261918483,8963249,1026.5787780761718,982.1061389160157,1.199007212583432,1039.2720920816205,998.7148689217892,0.040609411576675754,1.5528304649184774,36.59471965967532,26.96363616952508,9.631083490150239,1026.5787780761718,49.764666499905324,1126.1081110759824,927.0494450763612,2.164871021483172,21.830833480556016,20984184.0,-1.610204746508998,1.1593029569899138,17.80535523299617,0.033157084454863976,1.4569512654295076,984.9619562581504,1.120527792044473,-0.15359313645837042,0.0,0.01978008838890354,1.4307343615083934,3.981007304109269e-05,4.755312662156484,7.395433387744205,0.057182756272858626,1.6240748210329508,1.325908742166526,0,RELIANCE.NS
2021-09-14,1077.67333984375,1089.2988378614205,1076.5584984650136,1080.6536720322044,8908356,1037.5866760253907,986.94201171875,-0.025540221871783272,1046.3598569640646,1004.8394123083539,0.04132047782668792,0.4706608834824421,33.46559659552668,29.57028900350252,3.8953075920241567,1037.5866760253907,47.61528325957571,1132.817242544542,942.3561095062392,1.6515524302921196,22.313463068044744,13166859.6,-0.9062253908821989,0.38087174680633534,13.361459481628847,0.031053562668951002,-0.4258837571617722,986.887374413631,1.0919922250338447,-0.5322369669971032,0.0,0.020705219516036218,1.8845965452110758,6.62594934615297e-05,-1.9940821526187449,11.346366096917194,-0.023561150999566016,1.1949349410196755,0.6194246697906748,1,RELIANCE.NS
2021-09-15,1082.1551513671875,1090.09504087413,1077.6960268089388,1077.6960268089388,9071075,1042.2460052490235,989.2102490234375,-0.03680810289317926,1049.768932621505,1007.871402075367,0.04157031389106068,0.4181363497851177,32.139476343287015,30.08412647145942,2.0553498718275947,1042.2460052490235,47.164622268263294,1136.57524978555,947.9167607124969,1.5093833016929057,21.90394060827935,11511098.2,-0.5837952546479104,0.013430519171512998,11.51585465107721,0.029699508709682267,-1.0337773727264714,987.5470109431752,1.0958011511104215,-0.41361480065025424,0.0,0.02024103529018557,1.4108021980059322,5.884415961514067e-05,-0.6276723861808051,1.3664097664379398,-0.025646287229536213,1.2733359822538621,0.4706608834824421,1,RELIANCE.NS
2021-09-16,1104.860107421875,1108.750437452325,1077.013388880378,1083.6338341939222,13448882,1048.2510223388672,991.7401147460937,0.506372941503649,1055.015711173921,1011.6748807164065,0.04284067073680866,0.513238817129585,32.545452966626726,30.576391770492883,1.9690611961338433,1048.2510223388672,47.10580683852856,1142.4626360159243,954.0394086618101,1.4105431803287245,22.796090620126456,11340544.4,0.5217425783222159,0.18287694125750836,11.37197310744612,0.02945662781013982,-1.040860003916004,988.6446922982565,1.1175502342034103,-0.17434301256322401,0.0,0.020632558336566038,1.6313775669027215,0.0002763477855269252,1.475964756660801,2.103637142841606,-0.001295522167376273,1.303135503393303,0.4181363497851177,0,RELIANCE.NS
2021-09-17,1087.72900390625,1117.441336518829,1080.9265822690465,1112.9594649804742,34882133,1053.2083770751954,994.1585034179687,-0.24682029516101653,1058.1312628627143,1014.6573953513024,0.04284585881948574,0.04170636193842909,31.126053710542465,30.686324158502803,0.4397295520396618,1053.2083770751954,45.691634823514235,1144.591646722224,961.8251074281669,1.2391898652828985,24.53651180145531,16524321.2,2.45080163026634,-0.4222596669279288,12.194571431465475,0.028615632752950444,-1.4769383804424336,991.3533118629845,1.097216290993322,-0.1485315105126769,0.0,0.02255755956983756,2.23595585688161,0.0003487629891993214,-6.495672456843508,-7.971637213504309,-0.014450096025759085,0.8316736305058332,0.513238817129585,1,RELIANCE.NS
2021-09-20,1089.4580078125,1100.3782281549334,1078.3784384748346,1079.3339306750968,11779819,1058.8072998046875,996.7457019042969,-0.3789318609431952,1061.1147623817415,1017.5907527027219,0.04277162460780715,-0.1894769314912844,29.797202141054413,30.508499755013126,-0.7112976139587133,1058.8072998046875,42.685512528101626,1144.1783248608908,973.4362747484843,0.9768310515476429,24.533258768871665,15618053.0,-0.7031394823002864,-0.460700858754026,11.595756970683093,0.027350482466833432,-1.7448562514190298,992.1865747048696,1.0980374413316005,-0.24602681249476818,1.0,0.022518774099546512,2.093087457782424,0.00017025776775258806,-3.177412033712642,3.318260423130866,0.009613731264400682,-1.0730244099888304,0.04170636193842909,1,RELIANCE.NS
2021-09-21,1094.1673583984375,1099.5819747220887,1084.7485569386888,1094.3038400919852,9915736,1064.3209045410156,999.5858862304688,-0.4052252337911306,1064.2626286690459,1020.593756847652,0.042787712082653556,0.04488714861622934,28.792184551973833,30.16523671440527,-1.3730521624314385,1064.3209045410156,39.503184720627324,1143.3272739822703,985.314535099761,0.7184087726263856,24.244004401483785,15819529.0,-1.003804221252445,-0.2760661322323263,10.837325524526173,0.02631424190362562,-1.8266094380622908,992.9014246445732,1.1019899168642187,-0.16567682270497097,1.0,0.02215749191875948,2.0430958492375675,9.222757612781425e-05,3.1409579030013077,6.31836993671395,0.015305211648901862,-1.141304469027846,-0.1894769314912844,1,RELIANCE.NS
2021-09-22,1105.9068603515625,1111.139381442334,1091.2326692117995,1095.6690469817631,10995912,1069.9357604980469,1002.85560546875,-0.1949031995912025,1068.2287459721426,1023.9393687497661,0.04325390601634036,0.14301643713347914,28.613146031980932,29.854818577920405,-1.2416725459394726,1069.9357604980469,36.812699046866115,1143.561158591779,996.3103624043147,0.5028509856909125,24.536511131657058,16204496.4,-0.8476347053679608,-0.2456151285797337,11.423085949675132,0.0258730161262035,-1.6800287689713682,993.759943236867,1.112851114474801,-0.047958372535249136,1.0,0.022186779023919807,2.0352415276319475,0.00012999301277762606,1.3187265039835694,-1.8222313990177383,0.021948524621785648,-0.8171992047839032,0.04488714861622934,1,RELIANCE.NS
2021-09-23,1132.9344482421875,1136.1649964932392,1112.731907489886,1113.596411926489,15748397,1076.4720092773437,1006.5484826660156,0.5067529140013414,1074.391193807385,1028.2136855926062,0.04491041975201843,0.3091954287426952,30.302844846258722,29.944423831588068,0.3584210146706539,1076.4720092773437,35.74460212597743,1147.9612135292984,1004.9828050253888,0.40375264715230536,24.981761467065503,16664399.4,-0.1496669286124746,-0.09305732797291756,11.680117605523757,0.02674721815833967,-1.1643212839607227,995.2377771265615,1.1383555510856733,0.15283083498670585,1.0,0.022050491540641325,1.8252690423979607,0.00010266229983108693,2.216299053225981,0.8975725492424118,0.025409860154895325,-0.49419804772456877,0.14301643713347914,1,RELIANCE.NS
2021-09-24,1129.6583251953125,1140.009872555042,1124.7897556991463,1139.1453680882425,15192163,1082.2108520507813,1010.0338732910157,0.17599583507881839,1079.6547301300448,1032.1919067534966,0.04598255718336787,-0.40233553170418057,31.020008234375382,30.15954071214553,0.8604675222298503,1082.2108520507813,34.52882727972539,1151.2685066102322,1013.1531974913305,0.29802236833149315,22.799333164259938,12726405.4,0.5005895033294434,-0.3068592277582804,9.556608104145488,0.027459637611208426,-0.9904223017373507,996.6772050492655,1.133424462275601,0.18608636091837877,1.0,0.02018250355506214,0.6629530889643511,6.330951027616972e-05,-9.18973721652641,-11.406036269752391,0.03854758045293094,-0.6324101717092586,0.3091954287426952,1,RELIANCE.NS
2021-09-28,1159.393310546875,1167.0602357363134,1143.3540640558012,1153.0003348281084,18035258,1095.2890319824219,1018.2618530273437,0.7201053219032136,1093.1944846557737,1041.5682732264593,0.04956584484792604,-0.285413763952329,34.57779877379403,31.45667230803804,3.1211264657559887,1095.2890319824219,34.38107593960638,1164.0511838616346,1026.5268801032091,0.2515343703382069,21.798296731505893,15069112.8,0.4971747910803499,0.15847252307107632,14.18941277571257,0.029824045437569568,-0.33732339594043703,1000.1560887251691,1.159212370565753,0.19498637114421996,1.0,0.018801468434576217,-0.18826190024364853,0.00019876308416803248,0.8543569831245748,0.3569098274749649,0.05961240905953402,-1.3765360670548377,-0.3577023465699197,0,RELIANCE.NS
2021-09-30,1146.2889404296875,1153.273457399079,1137.6892697076169,1148.9053210131074,13590654,1107.16142578125,1025.8673767089845,-0.1941155564426558,1103.1633244884492,1049.7680532439185,0.050863875195555415,-0.4742259472571164,34.42031641644394,32.59832598466049,1.8219904317834477,1107.16142578125,29.555901900123892,1166.2732295814978,1048.0496219810022,-0.13158439177516695,22.289058381355613,14382356.8,-0.16545985741871194,-0.11935433421147484,17.398205108559022,0.030027609272328337,-0.6903518464639359,1002.4894893809669,1.143442352834558,-0.11333408080203805,1.0,0.019444537581423876,0.22217685553573177,9.054194494033355e-05,-0.5111027162253734,1.473620212396476,0.011787524166310126,-1.962389678827578,-0.43953595254247807,1,RELIANCE.NS
2021-10-01,1148.3138427734375,1155.6395643825463,1135.2550471541776,1138.4173546931033,8958928,1112.3781372070312,1029.7795703125,-0.31217368311282023,1107.4633738489242,1053.632594009782,0.05109065545725834,0.48602087581219994,33.823602841915545,32.8433813561115,0.9802214858040443,1112.3781372070312,26.90604897786225,1166.1902351627557,1058.5660392513066,-0.33555053154064485,21.634167640951677,13135709.8,-0.8753083609068119,0.23671510563559564,19.142801314862083,0.029455016200270166,-0.9201929674161515,1003.3469230465669,1.1444833450893461,-0.1536516171083799,0.0,0.018839943258630646,-0.17022497854937965,0.00012941814646688085,11.708686654149552,12.219789370374926,0.01651430097228701,-2.1514929850725406,-0.4742259472571164,1,RELIANCE.NS
2021-10-05,1187.2174072265625,1188.4914771861918,1159.0748554855732,1162.6012346483487,13533634,1120.369287109375,1038.3242407226562,0.7938139881390647,1119.8512704845361,1062.9949149345755,0.05348694970324155,0.9238558906987877,35.939436071218324,33.6714086753285,2.268027395889824,1120.369287109375,32.37847905734427,1185.1262452240635,1055.6123289946863,0.06568721725229759,23.60048200388519,11344328.6,0.5495222009699583,-0.4262810509933009,20.938422336905536,0.030271992183087622,-0.5319392202044391,1006.0368710479687,1.180093335932968,0.10847262702230044,0.0,0.01987882072839368,0.5122322071942002,0.0001444860963384564,2.511265350039494,-0.6141422047736,0.023998841830960016,-1.614266053907045,0.7333197188609024,0,RELIANCE.NS
2021-10-06,1164.7625732421875,1192.1087413964174,1160.78125500237,1192.1087413964174,10258881,1123.0754699707031,1042.7196569824218,-0.13707834348498396,1124.1285374138363,1066.9858034956583,0.053555289799464494,-0.17406841704299608,35.1417688467759,33.965480709617985,1.1762881371579184,1123.0754699707031,33.75497424064028,1190.5854184519837,1055.5655214894225,0.16325415061732423,23.57122756260664,11452129.8,-0.2889700713734834,0.04237836401091424,21.397389646653238,0.030170757246196948,-0.8267487224760165,1007.1472797927296,1.156496767267142,0.011350489723552749,0.0,0.020236937642145125,0.7406262977083902,0.00014655617062097527,-13.095992923852819,-15.607258273892313,0.012659013743338221,-2.3841092623441402,0.9238558906987877,1,RELIANCE.NS
2021-10-07,1170.472900390625,1182.4624681330135,1168.334326130549,1180.7560859021983,6336665,1126.2844482421874,1047.4281213378906,-0.04809587733979103,1128.5422862687685,1071.044121020951,0.05368421722249393,0.5285656394240944,34.5718645677091,34.08675748123621,0.4851070864728868,1126.2844482421874,35.099477397314786,1196.483403036817,1056.0854934475578,0.25666088571459195,22.22730903696689,10001332.0,-1.0165002283116287,-0.32168717305532873,20.40466213010857,0.029536663818651252,-1.009943755416021,1007.8307300710306,1.1613784591665821,-0.1523247833264995,0.0,0.01899002448458987,-0.1030118432903766,4.268418533800427e-05,8.360450393551517,21.456443317404336,0.02109761257216003,-1.7613628050027306,-0.17406841704299608,1,RELIANCE.NS
2021-10-11,1206.987548828125,1237.6326239992216,1203.6660128198464,1229.1694349795048,14768666,1138.268310546875,1058.6514477539063,0.793655722403317,1143.5019901308683,1081.8161689618382,0.05702061305680953,0.6198186011504522,38.37153674972251,35.46093098414729,2.9106057655752196,1138.268310546875,41.20546461838973,1220.6792397836546,1055.8573813100954,0.6804214759189895,25.66265488625655,12134067.8,0.6180149496428369,-0.30218285804186723,22.20456080284646,0.0317911620438388,-0.3093550262745376,1011.7457566642685,1.192975152974765,0.20095473904890418,1.0,0.021261739535898817,1.405420532070704,0.0002591001849659851,-3.7352407609308074,-8.876223586055204,0.037752010061353314,-1.071861757884126,0.9489460949695824,1,RELIANCE.NS
2021-10-12,1213.8809814453125,1220.7972576970285,1201.800425485858,1203.5068077762007,6682011,1145.0786926269532,1064.4073461914063,0.7688865647636591,1150.2047512084343,1086.995181216092,0.058150736162020024,0.5650835793207583,39.308506637271876,36.23044611477221,3.078060522499669,1145.0786926269532,41.91332875444139,1228.905350135836,1061.2520351180704,0.7053242916250726,25.597663456301966,10763743.2,-1.070163171492206,0.3977021979976894,21.429475218571376,0.032382504741475276,-0.26268314104950286,1012.59228353717,1.1987855340996716,0.04052887259543579,1.0,0.021087457376442294,1.2521546500655836,9.45261194928355e-05,-0.5455252516923395,3.189715509238468,0.02245888078834546,-0.889761777718903,0.6198186011504522,1,RELIANCE.NS
